PROVINCIA,CANTON,DISTRITO,POBL_2022
Alajuela,Alajuela,Turrúcares,9349.0
Alajuela,Alajuela,Tambor,14338.0
Alajuela,Alajuela,Garita,9492.0
Alajuela,Alajuela,Sarapiquí,4021.0
Alajuela,SanRamón,SanRamón,9107.0
Alajuela,SanRamón,Santiago,5699.0
Alajuela,SanRamón,SanJuan,13406.0
Alajuela,SanRamón,PiedadesNorte,9564.0
Alajuela,SanRamón,PiedadesSur,4603.0
Alajuela,SanRamón,SanRafael,10904.0
Alajuela,SanRamón,SanIsidro,5938.0
Alajuela,SanRamón,Ángeles,9793.0
Alajuela,SanRamón,Alfaro,8402.0
Alajuela,SanRamón,Volio,2727.0
Alajuela,SanRamón,Concepción,2765.0
Alajuela,SanRamón,Zapotal,515.0
Alajuela,SanRamón,PeñasBlancas,12371.0
Alajuela,SanRamón,SanLorenzo,
Alajuela,Grecia,Grecia,16146.0
Alajuela,Grecia,SanIsidro,7293.0
Alajuela,Grecia,SanJosé,10231.0
Alajuela,Grecia,SanRoque,13660.0
Alajuela,Grecia,Tacares,10050.0
Alajuela,Grecia,PuentedePiedra,13274.0
Alajuela,Grecia,Bolívar,9018.0
Alajuela,SanMateo,SanMateo,3071.0
Alajuela,SanMateo,Desmonte,1201.0
Alajuela,SanMateo,JesúsMaría,1517.0
Alajuela,SanMateo,Labrador,1487.0
Alajuela,Atenas,Atenas,8015.0
Alajuela,Atenas,Jesús,4396.0
Alajuela,Atenas,Mercedes,3832.0
Alajuela,Atenas,SanIsidro,3521.0
Alajuela,Atenas,Concepción,4261.0
Alajuela,Atenas,SanJosé,2326.0
Alajuela,Atenas,SantaEulalia,2510.0
Alajuela,Atenas,Escobal,1019.0
Alajuela,Naranjo,Naranjo,17348.0
Alajuela,Naranjo,SanMiguel,5782.0
Alajuela,Naranjo,SanJosé,3666.0
Alajuela,Naranjo,CirríSur,5533.0
Alajuela,Naranjo,SanJerónimo,4076.0
Alajuela,Naranjo,SanJuan,3688.0
Alajuela,Naranjo,ElRosario,4638.0
Alajuela,Naranjo,Palmitos,5033.0
Alajuela,Palmares,Palmares,3764.0
Alajuela,Palmares,Zaragoza,9901.0
Alajuela,Palmares,BuenosAires,8931.0
Alajuela,Palmares,Santiago,3379.0
Alajuela,Palmares,Candelaria,2457.0
