id,package,function,name,secondName,value
flare.vis.operator.distortion.Distortion,flare,vis,operator,distortion,6314
flare.vis.operator.distortion.FisheyeDistortion,flare,vis,operator,distortion,3444
flare.vis.operator.encoder.ColorEncoder,flare,vis,operator,encoder,3179
flare.vis.operator.encoder.Encoder,flare,vis,operator,encoder,4060
flare.vis.operator.encoder.PropertyEncoder,flare,vis,operator,encoder,4138
flare.vis.operator.encoder.ShapeEncoder,flare,vis,operator,encoder,1690
flare.vis.operator.encoder.SizeEncoder,flare,vis,operator,encoder,1830
flare.vis.operator.filter.FisheyeTreeFilter,flare,vis,operator,filter,5219
flare.vis.operator.filter.GraphDistanceFilter,flare,vis,operator,filter,3165
flare.vis.operator.filter.VisibilityFilter,flare,vis,operator,filter,3509
flare.vis.operator.IOperator,flare,vis,operator,IOperator,1286
flare.vis.operator.label.Labeler,flare,vis,operator,label,9956
flare.vis.operator.label.RadialLabeler,flare,vis,operator,label,3899
flare.vis.operator.label.StackedAreaLabeler,flare,vis,operator,label,3202
flare.vis.operator.layout.AxisLayout,flare,vis,operator,layout,6725
flare.vis.operator.layout.BundledEdgeRouter,flare,vis,operator,layout,3727
flare.vis.operator.layout.CircleLayout,flare,vis,operator,layout,9317
flare.vis.operator.layout.CirclePackingLayout,flare,vis,operator,layout,12003
flare.vis.operator.layout.DendrogramLayout,flare,vis,operator,layout,4853
flare.vis.operator.layout.ForceDirectedLayout,flare,vis,operator,layout,8411
flare.vis.operator.layout.IcicleTreeLayout,flare,vis,operator,layout,4864
flare.vis.operator.layout.IndentedTreeLayout,flare,vis,operator,layout,3174
flare.vis.operator.layout.Layout,flare,vis,operator,layout,7881
flare.vis.operator.layout.NodeLinkTreeLayout,flare,vis,operator,layout,12870
flare.vis.operator.layout.PieLayout,flare,vis,operator,layout,2728
flare.vis.operator.layout.RadialTreeLayout,flare,vis,operator,layout,12348
flare.vis.operator.layout.RandomLayout,flare,vis,operator,layout,870
flare.vis.operator.layout.StackedAreaLayout,flare,vis,operator,layout,9121
flare.vis.operator.layout.TreeMapLayout,flare,vis,operator,layout,9191
flare.vis.operator.Operator,flare,vis,operator,Operator,2490
flare.vis.operator.OperatorList,flare,vis,operator,OperatorList,5248
flare.vis.operator.OperatorSequence,flare,vis,operator,OperatorSequence,4190
flare.vis.operator.OperatorSwitch,flare,vis,operator,OperatorSwitch,2581
flare.vis.operator.SortOperator,flare,vis,operator,SortOperator,2023
